City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kruisfontein,ZA,-34.0033,24.7314,64.72,74,21,21.94,few clouds
216,Batagay-Alyta,RU,67.8006,130.4114,-16.42,92,100,4.07,overcast clouds
217,Srednekolymsk,RU,67.45,153.6833,-33.03,98,100,7.34,overcast clouds
218,Gamba,GA,-2.65,10.0,77.99,86,63,9.73,moderate rain
219,Ancud,CL,-41.8697,-73.8203,60.33,63,82,10.09,broken clouds
220,Mount Gambier,AU,-37.8333,140.7667,46.31,100,2,5.75,clear sky
221,Yaan,NG,7.3833,8.5667,86.02,31,74,3.04,broken clouds
222,Husavik,IS,66.0449,-17.3389,26.51,93,100,7.09,light snow
223,Pangai,TO,-19.8,-174.35,77.11,57,20,18.41,few clouds
224,Morant Bay,JM,17.8815,-76.4093,87.42,63,53,10.07,broken clouds
225,Lindi,TZ,-10.0,39.7167,78.21,77,47,5.91,scattered clouds
226,Usinsk,RU,65.9939,57.5281,10.94,92,100,14.88,light snow
227,Cabo San Lucas,MX,22.8909,-109.9124,77.31,69,90,5.75,overcast clouds
228,Kalmunai,LK,7.4167,81.8167,78.75,85,99,4.43,overcast clouds
229,Axim,GH,4.8699,-2.2405,80.33,80,68,5.79,light rain
230,Vernon,CA,50.2581,-119.2691,43.16,93,100,4.61,overcast clouds
231,Yakeshi,CN,49.2833,120.7333,4.23,99,82,5.12,broken clouds
232,Rocha,UY,-34.4833,-54.3333,67.77,92,100,8.14,overcast clouds
233,Fonte Boa,BR,-2.4959,-66.2662,91.24,52,96,1.43,overcast clouds
234,Riyadh,SA,24.6877,46.7219,66.34,30,0,8.79,clear sky
235,Hebi,CN,35.8992,114.1925,45.37,78,8,3.09,clear sky
236,Bichura,RU,50.5881,107.6022,10.47,92,100,1.83,overcast clouds
237,Svetlyy,RU,54.675,20.1347,35.65,91,99,6.15,overcast clouds
238,New Norfolk,AU,-42.7826,147.0587,47.7,98,19,2.62,few clouds
239,Ketegyhaza,HU,46.5333,21.1833,55.56,78,99,12.17,overcast clouds
240,Itarema,BR,-2.9248,-39.9167,86.72,60,96,15.77,overcast clouds
241,Dabola,GN,10.75,-11.1167,82.36,37,5,2.73,clear sky
242,Zhigansk,RU,66.7697,123.3711,-11.18,99,99,4.76,overcast clouds
243,Sisimiut,GL,66.9395,-53.6735,30.13,86,100,8.88,overcast clouds
244,Moindou,NC,-21.6924,165.677,71.55,79,87,4.23,overcast clouds
245,Jaboatao,BR,-8.1803,-35.0014,85.39,70,40,9.22,scattered clouds
246,Jieshi,CN,22.8134,115.8257,67.21,81,10,9.57,clear sky
247,Maniitsoq,GL,65.4167,-52.9,37.24,94,100,14.12,light rain
248,Esplanada,BR,-11.7961,-37.945,73.36,95,98,5.48,light rain
249,Basco,PH,20.4487,121.9702,78.19,85,100,27.74,moderate rain
250,Bay Roberts,CA,47.5999,-53.2648,49.75,73,8,15.77,clear sky
251,Angoche,MZ,-16.2325,39.9086,76.86,65,1,13.29,clear sky
252,Warrington,GB,53.3925,-2.5802,34.48,100,75,6.91,broken clouds
253,Lao Cai,VN,22.4833,103.95,62.35,92,46,1.61,scattered clouds
254,Honningsvag,NO,70.9821,25.9704,11.95,79,75,18.41,light shower snow
255,Kulhudhuffushi,MV,6.6221,73.07,80.31,79,100,7.34,overcast clouds
256,Ambilobe,MG,-13.2,49.05,77.81,81,100,3.06,light rain
257,Cherskiy,RU,68.75,161.3,-5.48,99,100,5.1,overcast clouds
258,Shimanovsk,RU,52.0,127.7,8.6,74,100,9.57,overcast clouds
259,Oranjestad,AW,12.524,-70.027,85.95,70,20,17.27,few clouds
260,Leshukonskoye,RU,64.8989,45.7622,10.51,93,100,6.8,overcast clouds
261,Lebu,CL,-37.6167,-73.65,57.7,62,1,18.92,clear sky
262,Aswan,EG,24.0934,32.907,79.23,24,0,9.89,clear sky
263,Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,12.66,light rain
264,Flinders,AU,-34.5833,150.8552,56.48,88,9,6.73,clear sky
265,Cerrik,AL,41.0317,19.9758,62.15,90,100,7.29,overcast clouds
266,Starosubkhangulovo,RU,53.1031,57.4423,17.51,90,100,2.91,overcast clouds
267,Daoukro,CI,7.0591,-3.9631,82.11,56,48,0.67,scattered clouds
268,Weligama,LK,5.9667,80.4167,76.23,91,98,3.94,overcast clouds
269,Namibe,AO,-15.1961,12.1522,70.02,75,89,9.04,overcast clouds
270,Anloga,GH,5.7947,0.8973,84.42,76,48,10.76,scattered clouds
271,Narsaq,GL,60.9167,-46.05,35.82,98,100,5.64,moderate rain
272,Corrente,BR,-3.7367,-43.3394,96.48,31,79,2.66,broken clouds
273,Machali,CL,-34.1833,-70.6667,78.08,25,0,11.5,clear sky
274,Rognan,NO,67.0953,15.3878,26.74,68,100,8.23,overcast clouds
275,Sinnamary,GF,5.3833,-52.95,83.57,65,63,9.78,broken clouds
276,Nome,US,64.5011,-165.4064,-18.33,69,1,6.91,clear sky
277,Castro,BR,-24.7911,-50.0119,83.17,37,73,8.16,broken clouds
278,Wanning,CN,18.8003,110.3967,72.99,81,100,12.64,overcast clouds
279,Conde,BR,-7.2597,-34.9075,85.46,66,40,11.5,scattered clouds
280,Klaksvik,FO,62.2266,-6.589,36.52,74,100,6.33,overcast clouds
281,Aljezur,PT,37.3191,-8.8033,55.42,70,11,13.94,few clouds
282,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,10.36,scattered clouds
283,San Rafael,AR,-34.6177,-68.3301,77.67,20,0,5.03,clear sky
284,Gat,IL,31.61,34.7642,65.08,41,25,0.6,scattered clouds
285,Mogadishu,SO,2.0371,45.3438,81.75,75,16,10.58,few clouds
286,Petrivka,UA,46.9695,30.9591,52.25,98,75,6.55,broken clouds
287,Gogrial,SS,8.5332,28.1004,89.6,27,67,3.36,broken clouds
288,Dingle,PH,10.9995,122.6711,75.72,93,100,7.47,overcast clouds
289,Cabano,PH,10.5869,122.7002,79.68,83,100,10.8,overcast clouds
290,Sayyan,YE,15.1718,44.3244,52.05,42,2,4.85,clear sky
291,Najran,SA,17.4924,44.1277,65.05,32,0,4.09,clear sky
292,Sandwick,GB,60.0,-1.25,33.62,75,20,11.5,few clouds
293,Cercal,PT,37.806,-8.6715,52.93,68,25,10.11,scattered clouds
294,Berlevag,NO,70.8578,29.0864,10.4,88,39,16.22,scattered clouds
295,Lunenburg,CA,44.3835,-64.3155,41.05,65,66,13.8,broken clouds
296,Sawtell,AU,-30.3833,153.1,64.72,94,90,10.36,overcast clouds
297,Bolitoc,PH,15.7395,119.8769,79.5,77,86,3.09,overcast clouds
298,Kontagora,NG,10.3999,5.4695,83.1,18,96,1.63,overcast clouds
299,Aragarcas,BR,-15.8975,-52.2508,97.45,46,40,9.22,scattered clouds
300,Preobrazheniye,RU,42.9019,133.9064,39.27,84,100,8.19,overcast clouds
301,Upata,VE,8.0086,-62.3989,79.93,73,59,4.52,broken clouds
302,Krasnoselkup,RU,65.7,82.4667,-14.21,100,60,7.99,broken clouds
303,Provideniya,RU,64.3833,-173.3,-5.51,77,3,4.94,clear sky
304,Singkang,MY,2.1006,102.7994,76.89,88,100,4.43,overcast clouds
305,Ponta Do Sol,PT,32.6667,-17.1,63.23,76,46,8.61,scattered clouds
306,Rawson,AR,-43.3002,-65.1023,74.34,24,63,15.59,broken clouds
307,Kahului,US,20.8947,-156.47,75.22,73,20,10.36,few clouds
308,Fayaoue,NC,-20.65,166.5333,78.84,82,17,13.0,few clouds
309,Aygedzor,AM,38.9785,46.2079,36.09,62,81,7.09,broken clouds
310,Byron Bay,AU,-28.65,153.6167,67.95,88,98,9.13,overcast clouds
311,Sur,OM,22.5667,59.5289,75.16,55,0,2.01,clear sky
312,Fevik,NO,58.3794,8.6766,28.17,70,100,23.2,light snow
313,Kavieng,PG,-2.5744,150.7967,80.98,80,70,9.08,moderate rain
314,Roald,NO,62.5833,6.1333,26.74,68,0,11.5,clear sky
315,Tynda,RU,55.1667,124.7167,-8.48,96,5,3.02,clear sky
316,Izoplit,RU,56.6256,36.222,32.99,93,100,5.95,overcast clouds
317,Yei,SS,4.095,30.6779,69.57,88,67,3.91,light rain
318,Honiara,SB,-9.4333,159.95,78.13,85,77,1.5,broken clouds
319,Ouadda,CF,8.0777,22.4007,79.43,28,51,5.39,broken clouds
320,Silver City,US,32.7701,-108.2803,55.36,24,40,5.75,scattered clouds
321,Lorengau,PG,-2.0226,147.2712,80.1,80,81,2.08,broken clouds
322,Malinyi,TZ,-8.9333,36.1333,77.13,67,44,1.9,scattered clouds
323,Alenquer,BR,-1.9417,-54.7383,86.34,42,64,2.39,broken clouds
324,Prince Rupert,CA,54.3161,-130.3201,44.29,65,90,9.22,light rain
325,Kurtamysh,RU,54.9103,64.4319,21.36,79,100,12.03,overcast clouds
326,Ahipara,NZ,-35.1667,173.1667,59.83,87,99,2.64,overcast clouds
327,Makat,KZ,47.6469,53.3463,31.59,70,98,7.96,overcast clouds
328,Hornepayne,CA,49.2138,-84.7705,26.28,82,100,9.31,overcast clouds
329,Yangjiang,CN,21.85,111.9667,63.95,63,21,5.68,few clouds
330,San Patricio,US,28.017,-97.5169,68.41,65,100,9.98,overcast clouds
331,Maceio,BR,-9.6658,-35.7353,90.84,55,20,13.8,few clouds
332,Yellowknife,CA,62.456,-114.3525,16.32,86,90,18.41,light snow
333,Hofn,IS,64.2539,-15.2082,31.08,96,100,6.46,snow
334,Christchurch,NZ,-43.5333,172.6333,57.4,88,90,6.91,overcast clouds
335,Waipawa,NZ,-41.4122,175.5153,61.43,89,85,3.53,overcast clouds
336,Ipixuna,BR,-1.7625,-48.8043,73.35,64,60,6.33,broken clouds
337,Caravelas,BR,-17.7125,-39.2481,82.71,69,63,12.46,broken clouds
338,Zheleznodorozhnyy,RU,55.7503,38.0042,37.62,93,100,5.46,overcast clouds
339,Belmonte,BR,-15.8631,-38.8828,82.9,83,78,14.76,broken clouds
340,Eureka,US,40.8021,-124.1637,52.41,83,100,4.07,overcast clouds
341,Kenai,US,60.5544,-151.2583,3.25,85,90,4.61,mist
342,Puqi,CN,29.7167,113.8833,54.03,68,67,2.35,broken clouds
