City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
235,Hebi,CN,45.37,clear sky,35.8992,114.1925,Wangfu Hotel
237,Svetlyy,RU,35.65,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
238,New Norfolk,AU,47.7,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
239,Ketegyhaza,HU,55.56,overcast clouds,46.5333,21.1833,Club Motel
246,Jieshi,CN,67.21,clear sky,22.8134,115.8257,Yuehai Hotel
247,Maniitsoq,GL,37.24,light rain,65.4167,-52.9,Hotel Heilmann Lyberth
250,Bay Roberts,CA,49.75,clear sky,47.5999,-53.2648,Stonewall Inn
253,Lao Cai,VN,62.35,scattered clouds,22.4833,103.95,Legend Hotel
261,Lebu,CL,57.7,clear sky,-37.6167,-73.65,Hostal Las Lilas
264,Flinders,AU,56.48,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
265,Cerrik,AL,62.15,overcast clouds,41.0317,19.9758,Tarko House
271,Narsaq,GL,35.82,moderate rain,60.9167,-46.05,Sleep In Narsaq
280,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
281,Aljezur,PT,55.42,few clouds,37.3191,-8.8033,Amazigh Hostel
284,Gat,IL,65.08,scattered clouds,31.61,34.7642,OlusHome
286,Petrivka,UA,52.25,broken clouds,46.9695,30.9591,
290,Sayyan,YE,52.05,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
291,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
293,Cercal,PT,52.93,scattered clouds,37.806,-8.6715,Herdade Baia Baia
295,Lunenburg,CA,41.05,broken clouds,44.3835,-64.3155,Lunenburg Arms Hotel
296,Sawtell,AU,64.72,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
300,Preobrazheniye,RU,39.27,overcast clouds,42.9019,133.9064,Campsite Orlan
305,Ponta Do Sol,PT,63.23,scattered clouds,32.6667,-17.1,Hotel do Campo
309,Aygedzor,AM,36.09,broken clouds,38.9785,46.2079,
310,Byron Bay,AU,67.95,overcast clouds,-28.65,153.6167,Backpackers Inn
317,Yei,SS,69.57,light rain,4.095,30.6779,City Link Hotel
320,Silver City,US,55.36,scattered clouds,32.7701,-108.2803,Copper Manor Motel
324,Prince Rupert,CA,44.29,light rain,54.3161,-130.3201,Crest Hotel
326,Ahipara,NZ,59.83,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Yangjiang,CN,63.95,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
330,San Patricio,US,68.41,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
334,Christchurch,NZ,57.4,overcast clouds,-43.5333,172.6333,The George
335,Waipawa,NZ,61.43,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
338,Zheleznodorozhnyy,RU,37.62,overcast clouds,55.7503,38.0042,Hotel Dali
340,Eureka,US,52.41,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
342,Puqi,CN,54.03,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
346,Bonavista,CA,42.8,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
351,Hammond,US,39.4,scattered clouds,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
354,Khash,IR,54.55,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
357,South Lake Tahoe,US,44.65,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
358,Constitucion,CL,66.45,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
361,Skibbereen,IE,49.8,overcast clouds,51.55,-9.2667,The West Cork Hotel
362,Sakakah,SA,65.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
371,Tuatapere,NZ,44.91,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
372,Ngunguru,NZ,60.64,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
377,Takab,IR,42.96,scattered clouds,36.4009,47.1133,نانوایی جواد
380,Pachino,IT,55.44,overcast clouds,36.7186,15.0907,Pietra Bianca B&B
381,Victoria,HK,69.78,clear sky,22.2855,114.1577,Mini Hotel Central
382,Shimoda,JP,42.91,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
390,Ketchikan,US,37.87,light rain,55.3422,-131.6461,Snow's Cove Lodge
398,Palestine,PS,56.62,few clouds,31.9216,35.2033,Grand Park Hotel
400,Kropotkin,RU,53.87,light rain,45.4375,40.5756,Hotel Europe Kropotkin
407,Gotsu,JP,46.24,overcast clouds,35.0,132.2167,Yurusato
411,Ube,JP,44.55,clear sky,33.9431,131.2511,"ANA Crowne Plaza Ube, an IHG Hotel"
417,Kamwenge,UG,62.98,light rain,0.1866,30.4539,Marianna Guest House
419,Ojinaga,MX,59.95,overcast clouds,29.5667,-104.4167,Suites Las Palmas
420,Shintomi,JP,46.27,clear sky,32.0785,131.4723,ホテルスイート
421,Lata,PT,54.01,overcast clouds,40.1629,-8.3327,Casa Maquia
425,Gijon,ES,49.46,overcast clouds,43.5357,-5.6615,Miramar
426,Jining,CN,46.69,clear sky,35.405,116.5814,Yunhe Star Hotel
427,Horve,DK,37.72,overcast clouds,55.7529,11.453,Dragsholm Castle
428,Toba,JP,41.0,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
429,Nizwa,OM,69.62,clear sky,22.9333,57.5333,Orient Apartments
432,Xam Nua,LA,52.0,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
438,Estevan,CA,35.94,overcast clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
439,Krivodol,BG,54.81,overcast clouds,43.3744,23.4844,
441,Segovia,ES,36.79,overcast clouds,41.1667,-4.0,Complejo de turismo Rural A Toca
442,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
448,Troy,US,37.04,snow,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
454,Iquique,CL,69.84,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
456,Naron,ES,54.45,overcast clouds,43.5167,-8.1528,Marcial
460,Yatou,CN,49.42,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
461,Jiexiu,CN,43.9,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
463,Halifax,CA,41.05,overcast clouds,44.6453,-63.5724,Hotel Halifax
464,Hondo,JP,53.1,broken clouds,32.45,130.2,ホテル河丁
472,San Lorenzo De El Escorial,ES,41.43,broken clouds,40.5914,-4.1474,Hotel Florida
475,Havelock,US,64.38,overcast clouds,34.8791,-76.9013,Sherwood Motel
481,Tacuarembo,UY,65.44,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
485,Rafraf,TN,48.51,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
486,Anapskaya,RU,57.43,scattered clouds,44.89,37.38,Continent Hotel
487,Amposta,ES,47.03,overcast clouds,40.7131,0.581,Hotel Hcc Montsià
488,Kampene,CD,69.69,light rain,-3.6,26.6667,
490,Abu Kamal,SY,64.89,clear sky,34.4506,40.9171,محطة التلفاز
494,Viransehir,TR,53.42,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
495,Kempsey,AU,62.28,overcast clouds,-31.0833,152.8333,Park Drive Motel
496,Regina,CA,39.2,overcast clouds,50.4501,-104.6178,Wingate by Wyndham Regina
498,Huancavelica,PE,44.11,overcast clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
499,Mountain Home,US,44.08,clear sky,43.133,-115.6912,Mountain Home Inn
501,Baleshwar,IN,65.34,scattered clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
503,Petropavlivka,UA,49.14,overcast clouds,48.4564,36.4367,Банька в Петропавловке
506,Lander,US,45.41,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
507,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
511,Challans,FR,39.4,scattered clouds,46.8436,-1.8749,Citotel Le Challans
516,Dublin,US,59.65,clear sky,37.7021,-121.9358,Pleasanton Marriott
517,Burnie,AU,47.98,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
520,Karachi,PK,67.82,haze,24.9056,67.0822,Sadaat
523,Matviyivka,UA,51.53,overcast clouds,47.0747,35.1444,
525,Iberia,US,60.87,clear sky,29.9502,-91.7507,back to back rv park
527,Mutare,ZW,63.09,clear sky,-18.9707,32.6709,Ann Bruce Backpackers
529,Kasongo-Lunda,CD,69.98,overcast clouds,-6.4667,16.8167,
530,Tigzirt,DZ,51.67,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
531,Aktau,KZ,41.58,broken clouds,43.65,51.2,Silk Way Hotel
