City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Yulara,AU,2021-11-27 18:58:38,-25.2406,130.9889,64.24,48,0,8.05
121,Anloga,GH,2021-11-27 18:58:39,5.7947,0.8973,84.42,76,100,10.6
122,Okany,HU,2021-11-27 18:58:39,46.9,21.35,45.16,92,100,7.92
123,Venezuela,VE,2021-11-27 18:58:39,8.0,-66.0,86.61,59,100,11.23
124,Geraldton,AU,2021-11-27 18:58:39,-28.7667,114.6,63.01,59,2,3.44
125,Port Hardy,CA,2021-11-27 18:58:40,50.6996,-127.4199,46.4,87,90,20.71
126,Lagoa,PT,2021-11-27 18:58:40,39.05,-27.9833,60.93,65,39,9.73
127,Primorsk,UA,2021-11-27 18:57:07,46.7348,36.3443,48.25,94,68,12.68
128,Port Elizabeth,ZA,2021-11-27 18:58:40,-33.918,25.5701,64.69,68,0,8.05
129,Arraial Do Cabo,BR,2021-11-27 18:58:40,-22.9661,-42.0278,85.96,78,40,13.8
130,Charters Towers,AU,2021-11-27 18:58:41,-20.1,146.2667,73.81,86,0,7.34
131,Tuatapere,NZ,2021-11-27 18:58:41,-46.1333,167.6833,46.06,81,38,2.84
132,Itaituba,BR,2021-11-27 18:58:41,-4.2761,-55.9836,82.56,89,90,2.3
133,Hofn,IS,2021-11-27 18:58:41,64.2539,-15.2082,36.19,58,100,8.41
134,Belaya Gora,RU,2021-11-27 18:58:42,68.5333,146.4167,-32.48,98,100,1.72
135,Joshimath,IN,2021-11-27 18:58:42,30.5667,79.5667,45.66,30,0,5.21
136,Mandalgovi,MN,2021-11-27 18:58:42,45.7625,106.2708,14.49,81,17,18.03
137,Vieux-Habitants,GP,2021-11-27 18:59:42,16.0589,-61.7659,83.77,71,100,3.31
138,Kearney,US,2021-11-27 18:59:43,40.6995,-99.0815,61.72,27,12,20.62
139,Chikitigarh,IN,2021-11-27 18:59:43,19.2,84.6167,71.76,86,100,2.77
140,Salalah,OM,2021-11-27 18:59:43,17.0151,54.0924,77.63,43,38,3.15
141,Lithgow,AU,2021-11-27 18:59:43,-33.4833,150.15,46.71,96,100,7.0
142,Mehamn,NO,2021-11-27 18:59:44,71.0357,27.8492,17.31,80,56,15.79
143,Moss Vale,AU,2021-11-27 18:59:44,-34.55,150.3833,48.43,97,100,6.38
144,Vitim,RU,2021-11-27 18:59:44,59.4511,112.5578,6.28,94,100,7.87
145,Aksarka,RU,2021-11-27 18:59:44,66.5606,67.7975,-10.52,99,88,5.93
146,Sola,VU,2021-11-27 18:59:44,-13.8833,167.55,75.87,100,75,0.0
147,Upington,ZA,2021-11-27 18:59:45,-28.4478,21.2561,75.58,20,0,6.91
148,San Juan,AR,2021-11-27 18:59:45,-31.5375,-68.5364,85.66,24,100,27.81
149,Flinders,AU,2021-11-27 18:59:45,-34.5833,150.8552,56.48,85,100,13.44
150,Caravelas,BR,2021-11-27 18:59:45,-17.7125,-39.2481,74.08,88,100,7.78
151,Kastamonu,TR,2021-11-27 18:59:46,41.5,33.6667,46.31,90,100,3.09
152,Jawor,PL,2021-11-27 18:59:46,51.0513,16.1935,34.68,82,100,10.4
153,Longyearbyen,SJ,2021-11-27 18:59:46,78.2186,15.6401,13.84,62,20,16.11
154,Avarua,CK,2021-11-27 18:57:27,-21.2078,-159.775,80.65,83,20,8.05
155,General Roca,AR,2021-11-27 18:59:46,-39.0333,-67.5833,81.0,14,2,19.48
156,Tiksi,RU,2021-11-27 18:59:47,71.6872,128.8694,-4.16,98,100,6.17
157,Lavrentiya,RU,2021-11-27 18:59:47,65.5833,-171.0,-10.26,91,5,8.28
158,Mackenzie,CA,2021-11-27 18:59:47,55.2999,-123.1698,21.42,93,90,4.61
159,Margate,GB,2021-11-27 18:59:47,51.3813,1.3862,40.71,78,96,34.52
160,Zhangye,CN,2021-11-27 18:59:48,38.9342,100.4517,25.83,42,60,7.67
161,Qaanaaq,GL,2021-11-27 18:59:48,77.484,-69.3632,1.65,96,100,2.08
162,Buala,SB,2021-11-27 18:59:48,-8.145,159.5921,79.77,80,100,2.42
163,Valdivia,CL,2021-11-27 18:59:48,-39.8142,-73.2459,64.49,42,24,6.87
164,Galesong,ID,2021-11-27 18:59:49,-5.3166,119.3661,77.02,83,100,7.45
165,Humaita,BR,2021-11-27 18:59:49,-7.5061,-63.0208,81.82,90,100,2.06
166,Comodoro Rivadavia,AR,2021-11-27 18:59:49,-45.8667,-67.5,67.86,18,0,10.36
167,Tasiilaq,GL,2021-11-27 18:59:49,65.6145,-37.6368,25.95,79,100,11.97
168,Hualmay,PE,2021-11-27 18:59:50,-11.0964,-77.6139,68.99,78,100,10.0
169,Phek,IN,2021-11-27 18:59:50,25.6667,94.5,39.54,96,8,1.83
170,Katherine,AU,2021-11-27 18:59:50,-14.4667,132.2667,80.92,65,37,4.61
171,Tommot,RU,2021-11-27 18:59:50,58.9564,126.2925,6.24,90,100,10.0
172,Chuy,UY,2021-11-27 18:58:06,-33.6971,-53.4616,72.93,69,38,12.77
173,The Valley,AI,2021-11-27 18:59:51,18.217,-63.0578,85.86,74,40,9.22
174,Puerto Narino,CO,2021-11-27 18:59:51,-3.7703,-70.3831,93.15,39,59,3.11
175,Constitucion,CL,2021-11-27 18:59:51,-35.3333,-72.4167,61.38,63,3,19.75
176,Vardo,NO,2021-11-27 18:59:51,70.3705,31.1107,24.64,79,40,12.17
177,Saint-Pierre,RE,2021-11-27 18:59:51,-21.3393,55.4781,76.68,78,90,2.3
178,Souillac,MU,2021-11-27 18:59:23,-20.5167,57.5167,75.58,78,20,4.61
179,Asyut,EG,2021-11-27 18:59:52,27.181,31.1837,68.18,24,81,5.19
